hand_class,hand,image,percentile,bucket
AA,ADAS,<img src='ADAS.png'>,0.5%,5%
KK,KHKD,<img src='KHKD.png'>,0.9%,5%
QQ,QSQD,<img src='QSQD.png'>,1.4%,5%
JJ,JHJD,<img src='JHJD.png'>,1.8%,5%
AKs,ADKD,<img src='ADKD.png'>,2.1%,5%
TT,TCTS,<img src='TCTS.png'>,2.6%,5%
AQs,ADQD,<img src='ADQD.png'>,2.9%,5%
KQs,KSQS,<img src='KSQS.png'>,3.2%,5%
AJs,ASJS,<img src='ASJS.png'>,3.5%,5%
AKo,ACKD,<img src='ACKD.png'>,4.4%,5%
KJs,KDJD,<img src='KDJD.png'>,4.7%,5%
ATs,AHTH,<img src='AHTH.png'>,5.0%,5%
QJs,QDJD,<img src='QDJD.png'>,5.3%,10%
KTs,KDTD,<img src='KDTD.png'>,5.6%,10%
AQo,ACQS,<img src='ACQS.png'>,6.5%,10%
99,9S9C,<img src='9S9C.png'>,6.9%,10%
QTs,QCTC,<img src='QCTC.png'>,7.2%,10%
KQo,KCQH,<img src='KCQH.png'>,8.1%,10%
JTs,JSTS,<img src='JSTS.png'>,8.4%,10%
AJo,AHJS,<img src='AHJS.png'>,9.4%,10%
A9s,AC9C,<img src='AC9C.png'>,9.7%,10%
A8s,AH8H,<img src='AH8H.png'>,10.0%,10%
K9s,KD9D,<img src='KD9D.png'>,10.3%,15%
KJo,KDJH,<img src='KDJH.png'>,11.2%,15%
88,8S8D,<img src='8S8D.png'>,11.6%,15%
ATo,ASTH,<img src='ASTH.png'>,12.5%,15%
A7s,AH7H,<img src='AH7H.png'>,12.8%,15%
QJo,QHJD,<img src='QHJD.png'>,13.7%,15%
Q9s,QH9H,<img src='QH9H.png'>,14.0%,15%
A5s,AC5C,<img src='AC5C.png'>,14.3%,15%
T9s,TC9C,<img src='TC9C.png'>,14.6%,15%
J9s,JD9D,<img src='JD9D.png'>,14.9%,15%
A6s,AC6C,<img src='AC6C.png'>,15.2%,20%
A4s,AD4D,<img src='AD4D.png'>,15.5%,20%
KTo,KDTC,<img src='KDTC.png'>,16.4%,20%
QTo,QCTS,<img src='QCTS.png'>,17.3%,20%
A3s,AS3S,<img src='AS3S.png'>,17.6%,20%
JTo,JCTH,<img src='JCTH.png'>,18.6%,20%
K8s,KD8D,<img src='KD8D.png'>,18.9%,20%
K7s,KC7C,<img src='KC7C.png'>,19.2%,20%
A2s,AD2D,<img src='AD2D.png'>,19.5%,20%
77,7C7H,<img src='7C7H.png'>,19.9%,20%
Q8s,QH8H,<img src='QH8H.png'>,20.2%,30%
T8s,TC8C,<img src='TC8C.png'>,20.5%,30%
A9o,AS9C,<img src='AS9C.png'>,21.4%,30%
K5s,KC5C,<img src='KC5C.png'>,21.7%,30%
98s,9D8D,<img src='9D8D.png'>,22.0%,30%
J8s,JC8C,<img src='JC8C.png'>,22.3%,30%
K6s,KC6C,<img src='KC6C.png'>,22.6%,30%
K9o,KH9D,<img src='KH9D.png'>,23.5%,30%
K4s,KC4C,<img src='KC4C.png'>,23.8%,30%
Q7s,QH7H,<img src='QH7H.png'>,24.1%,30%
A8o,AH8D,<img src='AH8D.png'>,25.0%,30%
66,6C6S,<img src='6C6S.png'>,25.5%,30%
T9o,TS9C,<img src='TS9C.png'>,26.4%,30%
87s,8C7C,<img src='8C7C.png'>,26.7%,30%
T7s,TD7D,<img src='TD7D.png'>,27.0%,30%
Q9o,QH9D,<img src='QH9D.png'>,27.9%,30%
J9o,JH9D,<img src='JH9D.png'>,28.8%,30%
J7s,JD7D,<img src='JD7D.png'>,29.1%,30%
97s,9H7H,<img src='9H7H.png'>,29.4%,30%
A5o,AD5C,<img src='AD5C.png'>,30.3%,40%
A7o,AH7C,<img src='AH7C.png'>,31.2%,40%
Q6s,QC6C,<img src='QC6C.png'>,31.5%,40%
Q5s,QH5H,<img src='QH5H.png'>,31.8%,40%
K3s,KH3H,<img src='KH3H.png'>,32.1%,40%
K2s,KD2D,<img src='KD2D.png'>,32.4%,40%
Q4s,QD4D,<img src='QD4D.png'>,32.7%,40%
76s,7H6H,<img src='7H6H.png'>,33.0%,40%
A4o,AH4C,<img src='AH4C.png'>,33.9%,40%
A6o,AS6C,<img src='AS6C.png'>,34.8%,40%
J6s,JH6H,<img src='JH6H.png'>,35.1%,40%
86s,8S6S,<img src='8S6S.png'>,35.4%,40%
Q3s,QS3S,<img src='QS3S.png'>,35.7%,40%
96s,9S6S,<img src='9S6S.png'>,36.0%,40%
K8o,KD8H,<img src='KD8H.png'>,37.0%,40%
55,5D5C,<img src='5D5C.png'>,37.4%,40%
A3o,AH3S,<img src='AH3S.png'>,38.3%,40%
T6s,TH6H,<img src='TH6H.png'>,38.6%,40%
Q2s,QH2H,<img src='QH2H.png'>,38.9%,40%
J5s,JS5S,<img src='JS5S.png'>,39.2%,40%
T8o,TH8S,<img src='TH8S.png'>,40.1%,45%
Q8o,QC8D,<img src='QC8D.png'>,41.0%,45%
65s,6D5D,<img src='6D5D.png'>,41.3%,45%
K7o,KD7H,<img src='KD7H.png'>,42.2%,45%
J8o,JS8D,<img src='JS8D.png'>,43.1%,45%
75s,7C5C,<img src='7C5C.png'>,43.4%,45%
A2o,AC2D,<img src='AC2D.png'>,44.3%,45%
44,4S4C,<img src='4S4C.png'>,44.8%,45%
98o,9C8D,<img src='9C8D.png'>,45.7%,trash
J4s,JH4H,<img src='JH4H.png'>,46.0%,trash
K6o,KD6S,<img src='KD6S.png'>,46.9%,trash
85s,8S5S,<img src='8S5S.png'>,47.2%,trash
T5s,TS5S,<img src='TS5S.png'>,47.5%,trash
54s,5D4D,<img src='5D4D.png'>,47.8%,trash
J3s,JC3C,<img src='JC3C.png'>,48.1%,trash
64s,6S4S,<img src='6S4S.png'>,48.4%,trash
95s,9S5S,<img src='9S5S.png'>,48.7%,trash
J2s,JD2D,<img src='JD2D.png'>,49.0%,trash
T4s,TS4S,<img src='TS4S.png'>,49.3%,trash
K5o,KS5D,<img src='KS5D.png'>,50.2%,trash
Q7o,QS7D,<img src='QS7D.png'>,51.1%,trash
33,3S3D,<img src='3S3D.png'>,51.6%,trash
87o,8C7D,<img src='8C7D.png'>,52.5%,trash
T3s,TH3H,<img src='TH3H.png'>,52.8%,trash
T7o,TH7S,<img src='TH7S.png'>,53.7%,trash
K4o,KD4C,<img src='KD4C.png'>,54.6%,trash
74s,7C4C,<img src='7C4C.png'>,54.9%,trash
97o,9C7H,<img src='9C7H.png'>,55.8%,trash
53s,5D3D,<img src='5D3D.png'>,56.1%,trash
T2s,TC2C,<img src='TC2C.png'>,56.4%,trash
J7o,JH7C,<img src='JH7C.png'>,57.3%,trash
Q6o,QC6D,<img src='QC6D.png'>,58.2%,trash
K3o,KC3D,<img src='KC3D.png'>,59.1%,trash
84s,8C4C,<img src='8C4C.png'>,59.4%,trash
94s,9C4C,<img src='9C4C.png'>,59.7%,trash
63s,6H3H,<img src='6H3H.png'>,60.0%,trash
22,2H2S,<img src='2H2S.png'>,60.5%,trash
93s,9S3S,<img src='9S3S.png'>,60.8%,trash
76o,7H6D,<img src='7H6D.png'>,61.7%,trash
Q5o,QC5S,<img src='QC5S.png'>,62.6%,trash
K2o,KD2S,<img src='KD2S.png'>,63.5%,trash
43s,4S3S,<img src='4S3S.png'>,63.8%,trash
T6o,TC6D,<img src='TC6D.png'>,64.7%,trash
92s,9C2C,<img src='9C2C.png'>,65.0%,trash
73s,7C3C,<img src='7C3C.png'>,65.3%,trash
52s,5H2H,<img src='5H2H.png'>,65.6%,trash
J6o,JH6C,<img src='JH6C.png'>,66.5%,trash
86o,8C6S,<img src='8C6S.png'>,67.4%,trash
96o,9C6S,<img src='9C6S.png'>,68.3%,trash
Q4o,QC4S,<img src='QC4S.png'>,69.2%,trash
83s,8C3C,<img src='8C3C.png'>,69.5%,trash
65o,6H5S,<img src='6H5S.png'>,70.4%,trash
62s,6H2H,<img src='6H2H.png'>,70.7%,trash
42s,4C2C,<img src='4C2C.png'>,71.0%,trash
Q3o,QS3H,<img src='QS3H.png'>,71.9%,trash
75o,7D5C,<img src='7D5C.png'>,72.9%,trash
J5o,JS5H,<img src='JS5H.png'>,73.8%,trash
82s,8C2C,<img src='8C2C.png'>,74.1%,trash
72s,7H2H,<img src='7H2H.png'>,74.4%,trash
32s,3C2C,<img src='3C2C.png'>,74.7%,trash
54o,5S4D,<img src='5S4D.png'>,75.6%,trash
J4o,JS4C,<img src='JS4C.png'>,76.5%,trash
Q2o,QH2D,<img src='QH2D.png'>,77.4%,trash
85o,8D5S,<img src='8D5S.png'>,78.3%,trash
T5o,TS5H,<img src='TS5H.png'>,79.2%,trash
95o,9H5D,<img src='9H5D.png'>,80.1%,trash
J3o,JS3C,<img src='JS3C.png'>,81.0%,trash
64o,6D4C,<img src='6D4C.png'>,81.9%,trash
T4o,TS4D,<img src='TS4D.png'>,82.8%,trash
J2o,JC2S,<img src='JC2S.png'>,83.7%,trash
53o,5H3C,<img src='5H3C.png'>,84.6%,trash
74o,7C4H,<img src='7C4H.png'>,85.5%,trash
T3o,TH3D,<img src='TH3D.png'>,86.4%,trash
84o,8C4S,<img src='8C4S.png'>,87.3%,trash
T2o,TD2H,<img src='TD2H.png'>,88.2%,trash
43o,4D3C,<img src='4D3C.png'>,89.1%,trash
94o,9S4D,<img src='9S4D.png'>,90.0%,trash
63o,6D3C,<img src='6D3C.png'>,91.0%,trash
93o,9D3C,<img src='9D3C.png'>,91.9%,trash
52o,5S2H,<img src='5S2H.png'>,92.8%,trash
73o,7C3H,<img src='7C3H.png'>,93.7%,trash
92o,9H2C,<img src='9H2C.png'>,94.6%,trash
83o,8H3S,<img src='8H3S.png'>,95.5%,trash
42o,4C2D,<img src='4C2D.png'>,96.4%,trash
82o,8S2D,<img src='8S2D.png'>,97.3%,trash
62o,6C2D,<img src='6C2D.png'>,98.2%,trash
32o,3H2S,<img src='3H2S.png'>,99.1%,trash
72o,7D2S,<img src='7D2S.png'>,100.0%,trash
